session_swing,pitch,strike_zone,la,dist,res,bearing,vertical_distance,horizontal_distance,poi_x,poi_y,poi_z,pitch_angle
125_7,57.9,1.0,35,350, 2B-9,22,6.0,-4.1,3.08,38.68,33.17,-6.0
134_1,60.1,2.0,16,244, 2B-7,-18,9.0,-1.1,0.68,38.1,25.42,-4.6
134_2,59.0,6.0,18,285, F7,-35,0.2,4.1,-4.05,30.39,33.57,-5.9
134_3,58.8,2.0,13,195, 1B-7,-40,5.0,0.0,-0.55,35.75,41.69,-5.4
134_4,58.8,2.0,25,330, 2B-8,-19,5.2,-1.8,1.45,34.55,26.75,-5.4
134_5,59.4,3.0,45,297, F7,-17,2.8,4.8,-2.78,32.04,28.17,-4.2
134_6,59.6,9.0,-2,29, 5-3,-40,-6.8,6.2,-6.6,24.15,39.22,-6.6
134_7,58.8,8.0,28,353, 2B-8,-6,-6.2,0.3,-0.19,24.1,33.41,-6.6
134_8,59.4,6.0,-5,21, 5-3,-43,-2.7,9.0,-8.13,27.36,31.87,-6.1
164_1,0.0,,29,392, HR,34,-31.8,0.0,0.0,0.0,0.0,0.0
164_2,56.1,2.0,12,217, 2B-9,22,7.2,-1.9,1.73,39.6,22.47,-6.1
164_3,56.6,5.0,38,376, F8,2,1.4,1.3,-1.36,34.15,24.96,-6.8
164_4,56.7,4.0,-10,15, 1B-9,28,1.5,-3.5,3.36,33.71,20.98,-6.7
164_5,54.8,1.0,18,354, 2B-9,29,3.4,-3.7,3.21,37.05,31.88,-7.3
164_6,56.5,5.0,26,389, 2B-8,13,1.1,-1.1,0.82,33.59,22.88,-6.9
164_7,54.6,1.0,34,368, 2B-8,15,5.6,-4.4,4.16,38.34,24.97,-6.8
164_8,0.0,,55,264, F9,26,-31.8,0.0,0.0,0.0,0.0,0.0
164_9,57.3,5.0,28,407, 2B-8,10,-0.4,2.7,-3.08,33.46,34.81,-6.9
167_2,56.8,8.0,21,284, F7,-34,-3.1,1.7,-2.03,30.27,32.77,-7.4
167_3,56.6,4.0,24,376, 2B-8,-11,0.8,-4.6,4.25,33.34,26.5,-7.0
167_4,56.7,8.0,0,57, 1B-7,-44,-4.1,0.1,-0.32,29.74,35.16,-7.8
167_5,56.2,5.0,36,384, HR,-21,-1.9,1.3,-1.78,31.66,34.58,-7.3
167_6,0.0,,1,59, 5-3,-41,-31.4,0.0,0.0,0.0,0.0,0.0
167_7,56.5,5.0,27,394, HR,-20,0.6,1.7,-0.72,33.84,31.85,-7.1
167_8,57.6,9.0,34,400, HR,-20,-4.0,4.3,-4.31,29.15,30.66,-7.4
178_1,59.0,12.0,-20,6, 6-3,-13,-5.1,-11.4,0.0,0.0,0.0,-7.8
178_2,58.5,7.0,1,49, 6-3,-20,-5.3,-6.7,6.59,26.11,23.73,-7.7
178_3,57.6,7.0,48,225, F9,14,-4.1,-6.6,6.63,26.92,20.8,-6.8
178_4,59.4,7.0,15,219, 1B-8,-14,-8.2,-6.6,0.0,0.0,0.0,-9.3
178_5,58.0,4.0,42,279, F8,-3,-2.5,-3.5,3.67,29.16,24.17,-9.0
178_6,58.7,7.0,17,238, 1B-8,-11,-9.4,-3.8,3.77,22.52,26.44,-8.6
178_7,58.1,7.0,31,291, 2B-7,-18,-3.4,-7.2,6.72,28.56,29.44,-6.5
178_8,58.0,7.0,13,160, 1B-7,-30,-4.4,-5.7,5.25,28.09,32.07,-7.4
179_1,59.4,1.0,8,201, 2B-8,-18,4.0,-5.7,5.01,36.71,32.72,-6.4
179_2,59.1,10.0,23,348, F8,4,3.6,-10.2,9.77,35.99,29.97,-6.4
179_3,0.0,,27,384, 2B-8,-19,-31.0,0.0,0.0,0.0,0.0,0.0
179_4,60.2,12.0,12,232, 1B-8,5,-0.5,-11.3,10.78,31.88,28.85,-6.8
179_5,59.7,1.0,39,359, 2B-8,-19,5.7,-6.3,5.04,38.82,38.48,-5.9
179_6,58.9,1.0,19,338, 2B-8,-19,8.7,-6.1,6.0,41.41,34.87,-5.8
179_7,0.0,,13,284, 2B-8,-19,-31.0,0.0,0.0,0.0,0.0,0.0
188_1,59.6,1.0,24,310, 2B-8,-11,4.1,-6.9,6.69,34.67,20.37,-7.3
188_2,0.0,,18,274, 2B-8,-14,-30.1,0.0,0.0,0.0,0.0,0.0
188_3,0.0,,14,229, 2B-8,-12,-30.1,0.0,0.0,0.0,0.0,0.0
188_4,60.7,12.0,19,272, 2B-8,-11,-0.3,-11.1,0.0,0.0,0.0,-7.4
188_5,57.9,3.0,12,191, 1B-8,10,2.9,3.2,0.0,0.0,0.0,-8.5
188_6,58.8,10.0,3,85, 6-3,-13,2.3,-10.1,9.94,32.91,21.52,-6.6
188_7,59.8,10.0,15,217, 1B-8,-3,3.5,-14.9,0.0,0.0,0.0,-6.0
198_1,59.0,4.0,5,117, 6-3,-13,-0.2,-4.9,4.21,32.81,24.42,-6.7
198_2,58.7,2.0,25,313, 2B-8,-11,4.2,-1.9,1.62,37.8,29.39,-6.4
198_3,58.6,4.0,14,215, 1B-8,-8,-2.0,-3.5,3.86,31.24,24.61,-8.1
198_4,57.4,4.0,17,217, 1B-8,15,1.2,-9.6,8.85,34.02,22.07,-6.9
198_5,0.0,,32,304, F8,12,-32.2,0.0,0.0,0.0,0.0,0.0
198_6,58.6,5.0,31,289, F8,10,-0.2,-2.1,2.31,32.63,23.44,-5.8
198_7,59.7,4.0,16,245, 1B-8,8,-1.1,-5.1,0.0,0.0,0.0,-3.7
200_1,0.0,,23,371, HR,22,-31.0,0.0,0.0,0.0,0.0,0.0
200_2,58.4,4.0,39,360, HR,23,1.7,-4.6,3.18,34.62,33.39,-6.9
200_3,0.0,,18,301, 1B-9,38,-31.0,0.0,0.0,0.0,0.0,0.0
200_4,57.9,2.0,44,347, HR,22,6.1,-0.7,-0.49,38.65,32.5,-5.9
200_5,0.0,,31,369, HR,22,-31.0,0.0,0.0,0.0,0.0,0.0
200_6,0.0,,24,358, HR,38,-31.0,0.0,0.0,0.0,0.0,0.0
200_7,0.0,,27,385, HR,28,-31.0,0.0,0.0,0.0,0.0,0.0
200_8,59.3,5.0,36,366, HR,25,1.2,-0.3,-0.81,33.43,28.67,-6.3
213_1,61.6,7.0,32,379, 2B-8,0,-2.7,-9.8,7.19,29.4,24.47,-9.2
213_2,0.0,,32,380, 2B-8,11,-31.0,0.0,0.0,0.0,0.0,0.0
213_3,62.8,8.0,28,368, 2B-8,-7,-4.4,1.9,0.0,0.0,0.0,-6.7
213_4,0.0,,33,399, 2B-8,5,-31.0,0.0,0.0,0.0,0.0,0.0
213_5,61.4,7.0,32,391, 2B-8,7,-3.0,-6.5,6.42,29.01,25.77,-7.1
213_6,62.4,4.0,37,349, F8,-7,-2.4,-7.7,6.11,29.44,24.44,-7.1
213_7,60.4,6.0,37,353, F8,0,-1.5,4.4,0.0,0.0,0.0,-7.1
213_8,61.8,5.0,31,360, 2B-8,-8,-1.7,0.6,-0.95,29.78,21.29,-6.9
215_1,59.5,6.0,-4,27, 4-3,21,-1.6,5.4,0.0,0.0,0.0,-5.5
215_2,60.0,5.0,0,45, 4-3,20,-0.8,-0.8,0.77,30.65,17.67,-6.9
215_4,0.0,,23,227, 1B-7,-17,-31.4,0.0,0.0,0.0,0.0,0.0
215_5,0.0,,24,274, F8,-8,-31.4,0.0,0.0,0.0,0.0,0.0
219_1,0.0,,29,349, F8,-7,-31.0,0.0,0.0,0.0,0.0,0.0
219_2,0.0,,20,324, 2B-8,13,-31.0,0.0,0.0,0.0,0.0,0.0
219_3,62.9,4.0,35,363, 2B-8,11,1.5,-5.9,0.61,34.12,31.7,-6.8
219_4,0.0,,17,269, 2B-8,12,-31.0,0.0,0.0,0.0,0.0,0.0
219_5,61.2,1.0,37,319, F8,-5,5.3,-5.9,3.59,37.27,27.3,-5.7
219_6,0.0,,26,385, 2B-8,1,-31.0,0.0,0.0,0.0,0.0,0.0
219_7,63.2,1.0,34,366, F8,1,6.1,-9.4,3.93,37.64,25.94,-3.5
219_8,0.0,,18,308, 2B-8,20,-31.0,0.0,0.0,0.0,0.0,0.0
222_1,59.8,6.0,22,352, HR,-30,1.1,3.6,-3.65,35.35,41.0,-6.0
